"","MUN","lng9110","lng9100","lng0010","lnProd1991","lnProd2000","lnProd2010","Escol1991","Escol2000","EMedio1991","EMedio2000","Urb1991","Urb2000","Analf1991","Analf2000","Gini1991","Gini2000","LnPop1991","LnPop2000","Indus1991","Indus2000","Serv1991","Serv2000","Horas1991","Horas2000","Horas2010","Sal1991","Sal2000","Sal2010","MA","PI","CE","RN","PB","PE","AL","SE","BA"
"241020",241020,0.756773180556313,0.677132060156997,0.0796411203993154,2.14570743856561,2.82283949872261,2.90248061912193,5.82431942382838,6.795445038235,0.138506098322118,0.189165101830585,0.340726757873939,0.442187963264418,0.452657180053939,0.323295990837672,0.872733834095816,0.913212441344649,8.75731184485209,8.81670501566458,0.123511261291501,0.149724675919252,0.508919416765718,0.707791777531895,38.800250447077,38.8240190185578,60.0901588182099,326.468527964878,539.772514092232,629.158158058997,0,0,0,1,0,0,0,0,0
"241030",241030,1.345833480695,1.2772555377276,0.0685779429674037,2.12336315924653,3.40061869697413,3.46919663994154,5.01872823253149,5.82981240156847,0.0854492444434779,0.174395100285843,0.504253544608429,0.565167737350029,0.582000112462476,0.447355903857461,0.873086147669397,0.95611361283229,8.69868106540156,8.85437945876683,0.201408764892395,0.190243020080878,0.438042400430757,0.656316864351584,41.9739763983239,39.8596274186478,77.9719762753984,327.90131798821,1097.31929432407,776.132562999333,0,0,0,1,0,0,0,0,0
"241040",241040,0.814817943354677,0.212298307374866,0.602519635979811,2.26060189997719,2.47290020735205,3.07541984333186,5.036705113632,5.92486772572274,0.0791880577756206,0.149772623871918,0.299735527530601,0.36435444494483,0.540242310926668,0.357543796630222,0.832847000062905,0.830069820853657,8.82555985299062,8.84836569495404,0.261293241225394,0.0556034087490336,0.41205012481825,0.747265415174982,38.7016816250958,38.5987433129136,60.5130232398866,355.964179001927,370.541315927295,753.994100236236,0,0,0,1,0,0,0,0,0
"241050",241050,0.588128462540363,0.101064241011177,0.487064221529186,2.39736202134178,2.49842626235296,2.98549048388215,6.87580493409885,6.92085864758696,0.140888820045758,0.207261571914576,0.458883553487907,0.519425476796059,0.365432848924504,0.324041432912825,0.877435200417656,0.870592411431714,8.11132800121891,8.35396813033917,0.169425164850079,0.0665506357426193,0.364809080101448,0.781857520428325,39.2507000053035,40.5596284363427,52.5723110667836,402.343938365853,425.703914104321,739.918533357221,0,0,0,1,0,0,0,0,0
"241060",241060,0.762572450094412,0.686956372692302,0.0756160774021096,2.3942123453546,3.0811687180469,3.15678479544901,7.84174715773118,7.50010905010921,0.171288603736806,0.224474181554372,0.483048002775439,0.606933206423369,0.474831867949463,0.316683610572403,0.874825271511781,0.898137025424114,7.99934295059512,7.99057688173376,0.0862269439738385,0.102955555033253,0.439618738212736,0.786822350077464,35.1946825257152,41.297646020766,50.7151594911043,304.081438329402,452.215825606787,595.748285190079,0,0,0,1,0,0,0,0,0
"241070",241070,0.449960499770238,0.580176635864047,-0.130216136093809,2.22082949604291,2.80100613190696,2.67078999581315,5.8388147372542,6.28487694283346,0.0706312504904449,0.144217387332291,0.730593426299513,0.800033224349458,0.36928305969772,0.371317119258704,0.831368591650299,0.910925791742207,7.84698098025841,7.88870952412577,0.377370294247315,0.0523757466957649,0.211700987101533,0.667920675691233,35.6537263302682,41.9378004140966,64.0073666672282,312.10970897414,667.247700535419,558.152083492578,0,0,0,1,0,0,0,0,0
"241080",241080,0.987737044368469,0.245699295388566,0.742037748979903,1.95627403006385,2.20197332545241,2.94401107443232,5.83692784441637,6.25860820905103,0.152821938230245,0.179425554849294,0.298241205999682,0.377619047621695,0.424894052741882,0.269411804093147,0.922357755627222,0.915660205375932,8.2890370962408,8.34283980428336,0.246585434390482,0.0808110274119263,0.319728290917287,0.816921566529966,28.2267455658153,36.336224955367,62.3743002264077,229.363397115036,310.711136506745,620.584599050615,0,0,0,1,0,0,0,0,0
"241090",241090,1.42358098297831,0.979290511878972,0.444290471099342,1.73850090916386,2.71779142104283,3.16208189214217,4.42606242323076,5.25107888047864,0.0757450458069252,0.166064232144662,0.594910591543008,0.618267736538166,0.518470402714845,0.382905712147343,0.822977337493629,0.897229397401241,8.6683680172584,8.65869275365348,0.370473688785506,0.249424279887156,0.413065450951984,0.677901672495831,43.3570752823923,44.9639027972568,56.3219807137211,232.992135129227,607.119187492435,809.996700411559,0,0,0,1,0,0,0,0,0
"241100",241100,0.598850193362201,0.410246698272948,0.188603495089253,2.01762791397559,2.42787461224854,2.61647810733779,4.80371421059706,5.90814814271798,0.0666964896797516,0.16833865169563,0.659691839427412,0.846429370962807,0.46007784327416,0.387767198461623,0.830823600394239,0.866998191169752,8.56731579890771,8.40447232128048,0.208191483574539,0.0488657821264886,0.515852375416083,0.502930227458539,39.5515410586677,40.4868745054918,55.8181739653608,301.688861535394,436.351524612929,509.061422284314,0,0,0,1,0,0,0,0,0
"241110",241110,1.58232306815786,0.872979950746651,0.709343117411208,1.82454210998263,2.69752206072928,3.40686517814049,2.92787073629114,6.07204753803848,0.0293339727782316,0.257315991652113,0.351997578718663,0.373304395027345,0.563278051050657,0.432806816227783,0.833956392558959,0.903647653895022,8.10288913237392,8.21229713815652,0.217639742303665,0.0928796588300966,0.522437995690275,0.696972627461947,40.4557625575888,37.7800096743686,67.2883614332691,198.375955501497,389.902974649544,679.256016016724,0,0,0,1,0,0,0,0,0
"241120",241120,0.921770745247652,0.263827334625275,0.657943410622376,2.42796867449764,2.69179600912291,3.34973941974529,4.98375413356123,7.47183428144334,0.171029271552795,0.232497693875654,0.760207998937539,0.783107780725482,0.428262436390374,0.299558389130034,0.84416151890104,0.87054726804831,10.2630483273379,10.3511816648492,0.275765712147761,0.121664845969805,0.471531925577887,0.667337460841804,41.2715892140204,41.9021092946942,47.9959789327455,402.401877932615,547.165830052067,762.058845403186,0,0,0,1,0,0,0,0,0
"241140",241140,0.963477021009113,0.425451219459281,0.538025801549832,2.11685789490791,2.54230911436719,3.08033491591703,3.91221783590858,5.58327481192602,0.0769708788656015,0.166032387686967,0.411042587901378,0.437316329949608,0.552161862879827,0.381666326705028,0.822937347213981,0.902165671340274,9.75196674366787,9.83958882673653,0.267545511961762,0.0911644930908749,0.405312568847538,0.609897402775124,35.9283681556829,40.3693910418138,56.5614219537385,298.257692630164,493.058192223421,771.607769829921,0,0,0,1,0,0,0,0,0
"241142",241142,0.607227231744192,0.190417889045558,0.416809342698635,2.28544928601032,2.47586717505588,2.89267651775451,6.24651912784388,6.02843985748567,0.0565196107416825,0.162913237580116,0.415139442206975,0.586453512870048,0.330174436649889,0.26132042250162,0.855316206700922,0.825128590217979,7.82803802982304,7.7735944673013,0.400100517663403,0.388037113468984,0.266529608974728,0.514427644696665,43.8183989530894,42.4400380541397,64.5769492761793,407.483143603356,444.142412263521,646.238955085721,0,0,0,1,0,0,0,0,0
"241150",241150,0.686621217260327,0.209957890795737,0.47666332646459,2.5978868224216,2.80784471321734,3.28450803968193,4.65122307802495,6.43344886013801,0.132040828233318,0.181131302062561,0.509652911475749,0.59939324612991,0.499509981661928,0.402665677638356,0.875643106708015,0.911052774970353,9.86355058193799,9.9088232921336,0.202976178086397,0.112874342472531,0.530735816267516,0.696927833331018,40.0735273748671,43.3222930307109,55.8417932049559,513.831235645067,602.669242915596,916.314154386429,0,0,0,1,0,0,0,0,0
"241160",241160,0.79883242551395,0.516408382620791,0.282424042893159,2.15487351449143,2.67128189711222,2.95370594000538,5.01574242658419,5.96946056821432,0.0700286309237816,0.0638324763131919,0.745834731119864,0.695955614553696,0.511393525184966,0.296262687435263,0.822259262608696,0.845294469796718,9.09862638019701,9.1361635392664,0.161100653557544,0.105540420573603,0.49788308809751,0.684719472624491,41.1247898371886,39.3659019484788,57.8362211800816,340.92835704505,495.619294093003,666.285753388328,0,0,0,1,0,0,0,0,0
"241170",241170,0.793563653766575,0.914029158826478,-0.120465505059903,2.15301883973933,3.06704799856581,2.94658249350591,5.61376101617524,7.10430402231889,0.158945780196593,0.22620838512692,0.311515900064934,0.506781750932094,0.491704191178419,0.414378094756781,0.88027298331953,0.874983020744597,8.08301991672304,8.08456241529387,0.160607437399674,0.132095935566565,0.445973618100762,0.674924083169448,31.8223224882954,37.9160024586831,46.9382538448232,288.423567276806,479.822620698626,644.865663491494,0,0,0,1,0,0,0,0,0
"241180",241180,0.694625211309276,0.469227290982238,0.225397920327037,2.27104417757858,2.74027146856081,2.96566938888785,5.02609196555972,6.51217306801528,0.136346118207137,0.246116630045449,0.382134703380187,0.457328385922874,0.43729574253951,0.335497535875532,0.837374983791319,0.826088545668467,8.16166044943927,8.08147504013396,0.313410630350395,0.13721572082452,0.223189564199239,0.617022694440001,37.452027127232,35.3984922512097,52.4271424399805,376.236193538066,449.560859761357,763.891132546484,0,0,0,1,0,0,0,0,0
"241190",241190,0.856614103133142,0.451271816888186,0.405342286244956,2.21934897225513,2.67062078914332,3.07596307538827,6.7275228699681,5.80372499774216,0.112312160762281,0.113471596742096,0.564579606382425,0.705747126426133,0.419907475684152,0.320230082452012,0.851424815398339,0.891758836849711,7.93558738373947,8.15478757277139,0.234207796042009,0.0804170082326162,0.453304427201287,0.602487441797924,38.885702388574,36.2196852156072,61.4956053389622,348.109399865757,473.8479469129,669.982948200846,0,0,0,1,0,0,0,0,0
"241200",241200,0.886225271330805,0.154326746537932,0.731898524792873,2.48117582287886,2.6355025694168,3.36740109420967,5.20568011943692,6.20308651754939,0.100101873845936,0.139420195489907,0.181276258776306,0.14111039101602,0.342621785277193,0.231564175650897,0.814999522968897,0.843369802813115,10.7246100935142,11.148146342147,0.360236043180027,0.180836450316437,0.340675657228579,0.541525431767476,43.2504092184788,46.0652781985049,51.2914141002278,462.314276039423,567.164852697287,857.081814814052,0,0,0,1,0,0,0,0,0
"241210",241210,0.360615511061097,0.17745859536141,0.183156915699688,2.59263882312406,2.77009741848547,2.95325433418516,6.11992383976437,6.93211508008581,0.191048465191602,0.221747925407068,0.682837862536957,0.726921726923968,0.315216656329937,0.226908170164729,0.864085955556963,0.875741278166915,8.60940767318446,8.64787051507891,0.283782954274107,0.145624391841863,0.424327075177124,0.631536859960357,36.3518244366558,42.6452759604114,69.1841368949512,414.348115784698,517.960765939689,717.064928020654,0,0,0,1,0,0,0,0,0
"241220",241220,0.930034125094931,0.0488744710458293,0.881159654049101,2.49284619356669,2.54172066461252,3.42288031866162,5.11022515275929,6.29638382798582,0.153661143941081,0.213160368793158,0.456751092344974,0.444213063853242,0.454974875519099,0.311697633211299,0.840116191057177,0.846552204206356,10.2453381558218,10.4605858886274,0.287547828825058,0.151800838973704,0.483806143923426,0.593367464143477,42.8954740703423,44.8824793281051,54.3550562437474,472.390770276752,512.908507211969,895.650100044349,0,0,0,1,0,0,0,0,0
"241230",241230,0.56797129073519,0.284924428804833,0.283046861930357,2.38623106481643,2.67115549362126,2.95420235555162,4.51872236518755,5.9533331253972,0.0877599445689382,0.124803835713217,0.684339590862705,0.773243198101163,0.522910710945281,0.370190951991714,0.88251186101251,0.890556499368225,9.37805577415263,9.39116080265055,0.231741116724429,0.136449591894138,0.521393817087675,0.761633396772038,42.2582060194014,41.5070920449834,61.1042441557238,435.451364172474,535.403235168167,634.360678903691,0,0,0,1,0,0,0,0,0
"241240",241240,0.452381330113871,0.264292134188256,0.188089195925615,2.53372107750332,2.79801321169158,2.98610240761719,5.71696107902943,7.27515589218963,0.17053704705233,0.185152531151502,0.559322445745054,0.703997881934403,0.320423686449986,0.208880675982164,0.870631620372861,0.903843019280578,8.06369263187103,8.23668532276276,0.271957554130683,0.106715131707646,0.439519083985888,0.596133626606436,43.8788570737325,41.1547372816563,58.1087043382569,476.921641420275,743.842405101815,776.675776387708,0,0,0,1,0,0,0,0,0
"241250",241250,0.941133686289606,0.290601480548524,0.650532205741082,2.34984886138629,2.64045034193481,3.29098254767589,5.55108667615977,6.52306264461212,0.102118473822518,0.165922264496387,0.439349807386438,0.525269684859879,0.51624146033156,0.404712122764234,0.869125142539395,0.930820231283722,9.96580485745282,10.0667112336454,0.28240019154713,0.148147373767576,0.430633470077942,0.751449896781327,40.6787374976163,41.8774171228862,65.167424255508,444.041490977011,550.512407655827,756.088662258604,0,0,0,1,0,0,0,0,0
"241260",241260,0.775483296226876,0.185584350459067,0.589898945767809,2.55228993047898,2.73787428093805,3.32777322670585,4.77876402663265,6.21839952518317,0.0936602453072179,0.127888389685123,0.570368844014553,0.69602272727275,0.473979460278066,0.340515001915453,0.861393012778891,0.871515247251285,9.58596463608418,9.77565418103192,0.249721295347372,0.171342429134849,0.414052666255442,0.60668684164944,36.8433502120687,43.2469184571278,49.6072875805193,394.95898260481,585.861278499887,761.02705994761,0,0,0,1,0,0,0,0,0
"241270",241270,0.902048066028702,-0.0187315509344918,0.920779616963194,2.34498871718269,2.3262571662482,3.24703678321139,4.8208668110693,6.26209866606155,0.0718769973584473,0.158693181377729,0.333665764424044,0.422225501772793,0.567166726590783,0.346856834065122,0.879231707738064,0.87015758030274,8.85637603428705,8.8211422363555,0.249096578193778,0.16902805911697,0.488106120110981,0.507476929135181,40.9694972426491,44.648284283089,52.8712069690352,431.601893811746,420.793461180674,804.455655129799,0,0,0,1,0,0,0,0,0
"241280",241280,0.747677421135266,0.71358969523026,0.0340877259050065,2.26086408541099,2.97445378064125,3.00854150654626,5.2608732150884,6.31044524179438,0.117902885034762,0.171539468277417,0.579752645682641,0.65650530420416,0.452568708755767,0.396859790537961,0.858267499985657,0.900668784982624,8.967376691128,9.01201137709616,0.226166352799929,0.137149396989749,0.345481794199174,0.653972500880489,37.179115481812,41.4261076452342,51.0289049132606,336.576362377957,683.665191846561,638.812544935657,0,0,0,1,0,0,0,0,0
"241290",241290,0.99381151243897,0.664332930783336,0.329478581655635,2.14068595272576,2.8050188835091,3.13449746516474,4.57313863453566,5.80004670013765,0.105704773526281,0.198958899471977,0.43462712608519,0.518614558244289,0.496719982157052,0.362247761183071,0.862363318965213,0.924547336046767,9.34705419319955,9.28711621079398,0.265092213900765,0.140105527202573,0.41594719277463,0.635877229070501,41.3063975588663,43.7123317810179,54.8137235332072,353.332104839276,488.57493955542,745.551509695343,0,0,0,1,0,0,0,0,0
